name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Chennai,India",2023-05-01,32.9,26.1,29.6,42,26.1,36.3,25.8,80.7,8.117,100,8.33,rain,0,,24.1,19.2,152.9,1006.5,76.7,5.4,210.3,18.1,8,60,2023-05-01T05:48:18,2023-05-01T18:24:00,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"VOMM,43279099999,AUCE,43278099999,AUKJ"
"Chennai,India",2023-05-02,30.9,24.9,28.1,38.7,24.9,32.8,25.2,84.4,28.578,100,12.5,rain,0,,23,21.6,166.3,1007.9,84.6,5.5,36.9,3.2,2,10,2023-05-02T05:47:52,2023-05-02T18:24:11,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOMM,43279099999,AUCE,43278099999,AUKJ"
"Chennai,India",2023-05-03,30.6,26.7,28.9,39.5,30,35.2,25.9,83.9,7.936,100,8.33,rain,0,,23.4,16.7,147.3,1007.9,66.8,5.4,258.8,22.3,9,30,2023-05-03T05:47:28,2023-05-03T18:24:23,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VOMM,43279099999,AUCE,43278099999"
"Chennai,India",2023-05-04,33.3,26.7,30.2,42.4,29.7,36.8,25.3,75.6,0.1,100,4.17,rain,0,,16.9,17.8,135.6,1007.1,60.7,6.1,266.3,23,9,60,2023-05-04T05:47:04,2023-05-04T18:24:35,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VOMM,43279099999,AUCE,43278099999"
"Chennai,India",2023-05-05,33.4,26,30,42.6,26,36.6,25.5,77.1,0.6,100,4.17,rain,0,,20.2,16.8,203.1,1006.2,67.6,7,114.4,9.9,6,60,2023-05-05T05:46:40,2023-05-05T18:24:47,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VOMM,43279099999,AUCE,43278099999"
"Chennai,India",2023-05-06,33.6,27.3,29.8,43.1,31.2,36.2,25,77.5,0,0,0,rain,0,,23.4,15.4,204.9,1005.7,82.6,7.9,152.1,13,7,30,2023-05-06T05:46:18,2023-05-06T18:25:00,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999,AUKJ"
"Chennai,India",2023-05-07,34,27.4,30.2,45.2,30.9,37.4,25.6,77.1,0.3,100,4.17,rain,0,,19.4,18.4,241,1005.6,86.4,6.3,212.3,18.5,9,60,2023-05-07T05:45:56,2023-05-07T18:25:13,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VOMM,43279099999,AUCE,43278099999"
"Chennai,India",2023-05-08,34,26.5,30.2,46.6,26.5,37.1,25.6,76.8,0,0,0,,0,,20.9,18.5,113.9,1005,48.1,6,306.5,26.6,10,60,2023-05-08T05:45:35,2023-05-08T18:25:26,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999"
"Chennai,India",2023-05-09,33.8,28.4,31.1,44.6,33.9,39.5,26.3,76.2,0,0,0,,0,,20.5,13.5,179.9,1005.4,38.3,5.5,299,25.7,10,75,2023-05-09T05:45:15,2023-05-09T18:25:40,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999"
"Chennai,India",2023-05-10,34.1,28.9,31.2,45,36,39.8,26.3,76.2,0,0,0,,0,,21.6,19.2,187.2,1004.6,53.9,5.8,237.6,20.6,9,75,2023-05-10T05:44:56,2023-05-10T18:25:54,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999,AUKJ"
"Chennai,India",2023-05-11,33.9,28.3,30.5,44.5,34.1,39.1,26.6,80.2,0,0,0,,0,,19.4,33.8,225.2,1005.5,75.3,4.6,184.9,15.9,6,75,2023-05-11T05:44:37,2023-05-11T18:26:08,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999"
"Chennai,India",2023-05-12,35.5,28.9,31.3,45.5,36.7,40.6,26.8,78.1,0,0,0,,0,,35.6,35.1,237.4,1006.2,86.6,4.6,232.3,20,9,60,2023-05-12T05:44:20,2023-05-12T18:26:23,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999"
"Chennai,India",2023-05-13,35.9,29.5,32.1,46.4,38,41.3,26.4,72.8,0,0,0,,0,,45.7,31.3,241.3,1006.1,82.3,5.2,190.1,16.7,8,50,2023-05-13T05:44:03,2023-05-13T18:26:37,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999"
